거래소코드,회사명,회계년도,PEG
3480,(주)한진중공업홀딩스,2014,3.4718312034426515
3480,(주)한진중공업홀딩스,2015,
3480,(주)한진중공업홀딩스,2016,
3480,(주)한진중공업홀딩스,2017,-10.186146066713237
3480,(주)한진중공업홀딩스,2018,0.0
3480,(주)한진중공업홀딩스,2019,0.0
6060,(주)화승인더스트리,2011,-0.10885310301160644
6060,(주)화승인더스트리,2012,-0.16546426946737344
6060,(주)화승인더스트리,2013,
6060,(주)화승인더스트리,2014,
6060,(주)화승인더스트리,2015,0.12277502149533219
6060,(주)화승인더스트리,2016,0.037665091533124494
6060,(주)화승인더스트리,2017,0.06063037048991757
6060,(주)화승인더스트리,2018,7.661120952600728
6060,(주)화승인더스트리,2019,-0.6062742049805092
5110,(주)한창,2011,
5110,(주)한창,2012,0.1641604436518013
5110,(주)한창,2013,1.704565887592478
5110,(주)한창,2014,0.500589528995942
5110,(주)한창,2015,0.4462364681717766
5110,(주)한창,2016,
5110,(주)한창,2017,
5110,(주)한창,2018,
5110,(주)한창,2019,
2680,(주)한탑,2011,0.0
2680,(주)한탑,2012,-0.8386842032550342
2680,(주)한탑,2013,
2680,(주)한탑,2014,
2680,(주)한탑,2015,
2680,(주)한탑,2016,1.709195322299375
2680,(주)한탑,2017,1.7957436519094803
2680,(주)한탑,2018,-0.0
2680,(주)한탑,2019,
880,(주)한화,2011,-1.25928416501606
880,(주)한화,2012,-0.7193970544289706
880,(주)한화,2013,-1.1831530929916976
880,(주)한화,2014,2.27119646310615
880,(주)한화,2015,-4.345163400191073
880,(주)한화,2016,1.421201512836035
880,(주)한화,2017,1.7483920166296265
880,(주)한화,2018,0.13493899638841794
880,(주)한화,2019,-9.640671783558194
5440,(주)현대그린푸드,2011,-0.48840698922297743
5440,(주)현대그린푸드,2012,-0.5241541741572795
5440,(주)현대그린푸드,2013,-1.6192796873184916
5440,(주)현대그린푸드,2014,5.223651790641454
5440,(주)현대그린푸드,2015,11.49521751440163
5440,(주)현대그린푸드,2016,9.126950058156256
5440,(주)현대그린푸드,2017,0.673238058817126
5440,(주)현대그린푸드,2018,1.3944226781482008
5440,(주)현대그린푸드,2019,7.334258031299702
79430,(주)현대리바트,2011,-0.7240059755824898
79430,(주)현대리바트,2012,-0.697055769664668
79430,(주)현대리바트,2013,-0.8155145098037319
79430,(주)현대리바트,2014,0.43876562587506246
79430,(주)현대리바트,2015,0.3058469760449346
79430,(주)현대리바트,2016,0.19901141195990307
79430,(주)현대리바트,2017,0.8687256727590056
79430,(주)현대리바트,2018,-19.515328033437957
79430,(주)현대리바트,2019,-0.8339572050944761
10620,(주)현대미포조선,2011,-0.5826058495163208
10620,(주)현대미포조선,2012,-0.7165089787183043
10620,(주)현대미포조선,2013,
10620,(주)현대미포조선,2014,
10620,(주)현대미포조선,2015,-1.4329640288698882
10620,(주)현대미포조선,2016,1.1147866724688928
10620,(주)현대미포조선,2017,0.11197069788594251
10620,(주)현대미포조선,2018,1.043970323714515
10620,(주)현대미포조선,2019,-2.5423715472778916
52260,(주)현대바이오랜드,2011,7.019641391183828
52260,(주)현대바이오랜드,2012,-0.9941220979954631
52260,(주)현대바이오랜드,2013,-2.961204080124237
52260,(주)현대바이오랜드,2014,-3.977307134916938
52260,(주)현대바이오랜드,2015,35.78757983598729
52260,(주)현대바이오랜드,2016,4.540364630030961
52260,(주)현대바이오랜드,2017,7.857760276053994
52260,(주)현대바이오랜드,2018,2.5463090342654087
52260,(주)현대바이오랜드,2019,-4.152071208781605
69960,(주)현대백화점,2011,2.5882904456289655
69960,(주)현대백화점,2012,-5.4898663009524205
69960,(주)현대백화점,2013,-1.9625701226028758
69960,(주)현대백화점,2014,-2.582274568817602
69960,(주)현대백화점,2015,-3.6981756432996535
69960,(주)현대백화점,2016,-12.138074802368576
69960,(주)현대백화점,2017,-5.160989266654854
69960,(주)현대백화점,2018,0.2574872811755309
69960,(주)현대백화점,2019,-3.2470665155477634
41440,(주)현대에버다임,2011,0.5082518645364742
41440,(주)현대에버다임,2012,0.3904801877997142
41440,(주)현대에버다임,2013,0.566568721310835
41440,(주)현대에버다임,2014,-0.9206180160183964
41440,(주)현대에버다임,2015,-1.1708367470200591
41440,(주)현대에버다임,2016,-0.996020441492481
41440,(주)현대에버다임,2017,-17.441910780290243
41440,(주)현대에버다임,2018,-1.2781163659925556
41440,(주)현대에버다임,2019,-2.5144936084957497
126560,(주)현대퓨처넷,2011,1.0073123218027915
126560,(주)현대퓨처넷,2012,-0.45856370493012255
126560,(주)현대퓨처넷,2013,1.2531684351974253
126560,(주)현대퓨처넷,2014,-8.323968437322959
126560,(주)현대퓨처넷,2015,-1.5138349393416617
126560,(주)현대퓨처넷,2016,-1.5217481207380068
126560,(주)현대퓨처넷,2017,0.23620147319992846
126560,(주)현대퓨처넷,2018,0.2833313372633085
126560,(주)현대퓨처넷,2019,0.21381821945276253
3010,(주)혜인,2011,5.284866621345435
3010,(주)혜인,2012,
3010,(주)혜인,2013,
3010,(주)혜인,2014,-2.146509292780282
3010,(주)혜인,2015,0.0
3010,(주)혜인,2016,2.2588379119415523
3010,(주)혜인,2017,0.16230017421339785
3010,(주)혜인,2018,0.0
3010,(주)혜인,2019,0.1748816670805565
8770,(주)호텔신라,2011,0.7254625214093341
8770,(주)호텔신라,2012,0.4107797114190391
8770,(주)호텔신라,2013,-4.71177476954793
8770,(주)호텔신라,2014,1.2934158414159571
8770,(주)호텔신라,2015,-7.658341323357254
8770,(주)호텔신라,2016,1.4336329438622832
8770,(주)호텔신라,2017,-2.896143980286362
8770,(주)호텔신라,2018,7.567516551312198
8770,(주)호텔신라,2019,0.5590528013800642
60560,(주)홈센타홀딩스,2011,2.3123915833875515
60560,(주)홈센타홀딩스,2012,8.702973227338708
60560,(주)홈센타홀딩스,2013,-1.6890601847259499
60560,(주)홈센타홀딩스,2014,
60560,(주)홈센타홀딩스,2015,-1.5699730504476244
60560,(주)홈센타홀딩스,2016,-5.6618131783540795
60560,(주)홈센타홀딩스,2017,
60560,(주)홈센타홀딩스,2018,
60560,(주)홈센타홀딩스,2019,
64240,(주)홈캐스트,2011,-0.602428879315228
64240,(주)홈캐스트,2012,0.0
64240,(주)홈캐스트,2013,
64240,(주)홈캐스트,2014,-2.081233141337412
64240,(주)홈캐스트,2015,0.3587675233442376
64240,(주)홈캐스트,2016,1.2375612551158715
64240,(주)홈캐스트,2017,
64240,(주)홈캐스트,2018,
64240,(주)홈캐스트,2019,
9290,광동제약(주),2011,0.43010724423214863
9290,광동제약(주),2012,1.1239684612303547
9290,광동제약(주),2013,-10.040370686433295
9290,광동제약(주),2014,1.6315773098299133
9290,광동제약(주),2015,2.562156395553201
9290,광동제약(주),2016,1.656904051955808
9290,광동제약(주),2017,-1.6335790713949718
